id,date,state_name,state_code,office_name,office_code,type,category,registrations
172985,01-04-2023,Karnataka,29,Bengaluru Central Rto,KA1,Cng Only,Fuel,446
172994,01-08-2023,Karnataka,29,Bengaluru Central Rto,KA1,Cng Only,Fuel,626
173003,01-12-2023,Karnataka,29,Bengaluru Central Rto,KA1,Cng Only,Fuel,589
173011,01-02-2023,Karnataka,29,Bengaluru Central Rto,KA1,Cng Only,Fuel,362
173020,01-01-2023,Karnataka,29,Bengaluru Central Rto,KA1,Cng Only,Fuel,290
173028,01-07-2023,Karnataka,29,Bengaluru Central Rto,KA1,Cng Only,Fuel,496
173037,01-06-2023,Karnataka,29,Bengaluru Central Rto,KA1,Cng Only,Fuel,610
173046,01-03-2023,Karnataka,29,Bengaluru Central Rto,KA1,Cng Only,Fuel,530
173056,01-05-2023,Karnataka,29,Bengaluru Central Rto,KA1,Cng Only,Fuel,506
173064,01-11-2023,Karnataka,29,Bengaluru Central Rto,KA1,Cng Only,Fuel,812
173073,01-10-2023,Karnataka,29,Bengaluru Central Rto,KA1,Cng Only,Fuel,614
173082,01-09-2023,Karnataka,29,Bengaluru Central Rto,KA1,Cng Only,Fuel,585
173091,01-01-2024,Karnataka,29,Bengaluru Central Rto,KA1,Cng Only,Fuel,415
173368,01-04-2023,Karnataka,29,Bengaluru East Rto,KA3,Cng Only,Fuel,305
173377,01-08-2023,Karnataka,29,Bengaluru East Rto,KA3,Cng Only,Fuel,624
173385,01-12-2023,Karnataka,29,Bengaluru East Rto,KA3,Cng Only,Fuel,630
173394,01-02-2023,Karnataka,29,Bengaluru East Rto,KA3,Cng Only,Fuel,319
173403,01-01-2023,Karnataka,29,Bengaluru East Rto,KA3,Cng Only,Fuel,291
173411,01-07-2023,Karnataka,29,Bengaluru East Rto,KA3,Cng Only,Fuel,591
173421,01-06-2023,Karnataka,29,Bengaluru East Rto,KA3,Cng Only,Fuel,551
173430,01-03-2023,Karnataka,29,Bengaluru East Rto,KA3,Cng Only,Fuel,418
173439,01-05-2023,Karnataka,29,Bengaluru East Rto,KA3,Cng Only,Fuel,412
173448,01-11-2023,Karnataka,29,Bengaluru East Rto,KA3,Cng Only,Fuel,617
173457,01-10-2023,Karnataka,29,Bengaluru East Rto,KA3,Cng Only,Fuel,617
173466,01-09-2023,Karnataka,29,Bengaluru East Rto,KA3,Cng Only,Fuel,558
173475,01-01-2024,Karnataka,29,Bengaluru East Rto,KA3,Cng Only,Fuel,442
173733,01-04-2023,Karnataka,29,Bengaluru North Rto,KA4,Cng Only,Fuel,94
173741,01-08-2023,Karnataka,29,Bengaluru North Rto,KA4,Cng Only,Fuel,142
173749,01-12-2023,Karnataka,29,Bengaluru North Rto,KA4,Cng Only,Fuel,64
173757,01-02-2023,Karnataka,29,Bengaluru North Rto,KA4,Cng Only,Fuel,96
173766,01-01-2023,Karnataka,29,Bengaluru North Rto,KA4,Cng Only,Fuel,80
173773,01-07-2023,Karnataka,29,Bengaluru North Rto,KA4,Cng Only,Fuel,123
173780,01-06-2023,Karnataka,29,Bengaluru North Rto,KA4,Cng Only,Fuel,143
173789,01-03-2023,Karnataka,29,Bengaluru North Rto,KA4,Cng Only,Fuel,93
173798,01-05-2023,Karnataka,29,Bengaluru North Rto,KA4,Cng Only,Fuel,110
173807,01-11-2023,Karnataka,29,Bengaluru North Rto,KA4,Cng Only,Fuel,107
173816,01-10-2023,Karnataka,29,Bengaluru North Rto,KA4,Cng Only,Fuel,108
173824,01-09-2023,Karnataka,29,Bengaluru North Rto,KA4,Cng Only,Fuel,101
173832,01-01-2024,Karnataka,29,Bengaluru North Rto,KA4,Cng Only,Fuel,80
174094,01-04-2023,Karnataka,29,Bengaluru South Rto,KA5,Cng Only,Fuel,232
174103,01-08-2023,Karnataka,29,Bengaluru South Rto,KA5,Cng Only,Fuel,329
174111,01-12-2023,Karnataka,29,Bengaluru South Rto,KA5,Cng Only,Fuel,186
174120,01-02-2023,Karnataka,29,Bengaluru South Rto,KA5,Cng Only,Fuel,252
174129,01-01-2023,Karnataka,29,Bengaluru South Rto,KA5,Cng Only,Fuel,198
174136,01-07-2023,Karnataka,29,Bengaluru South Rto,KA5,Cng Only,Fuel,252
174144,01-06-2023,Karnataka,29,Bengaluru South Rto,KA5,Cng Only,Fuel,409
174153,01-03-2023,Karnataka,29,Bengaluru South Rto,KA5,Cng Only,Fuel,300
174162,01-05-2023,Karnataka,29,Bengaluru South Rto,KA5,Cng Only,Fuel,315
174171,01-11-2023,Karnataka,29,Bengaluru South Rto,KA5,Cng Only,Fuel,270
174180,01-10-2023,Karnataka,29,Bengaluru South Rto,KA5,Cng Only,Fuel,407
174189,01-09-2023,Karnataka,29,Bengaluru South Rto,KA5,Cng Only,Fuel,359
174198,01-01-2024,Karnataka,29,Bengaluru South Rto,KA5,Cng Only,Fuel,164
174457,01-04-2023,Karnataka,29,Bengaluru West Rto,KA2,Cng Only,Fuel,339
174465,01-08-2023,Karnataka,29,Bengaluru West Rto,KA2,Cng Only,Fuel,368
174473,01-12-2023,Karnataka,29,Bengaluru West Rto,KA2,Cng Only,Fuel,467
174482,01-02-2023,Karnataka,29,Bengaluru West Rto,KA2,Cng Only,Fuel,367
174490,01-01-2023,Karnataka,29,Bengaluru West Rto,KA2,Cng Only,Fuel,308
174497,01-07-2023,Karnataka,29,Bengaluru West Rto,KA2,Cng Only,Fuel,358
174505,01-06-2023,Karnataka,29,Bengaluru West Rto,KA2,Cng Only,Fuel,583
174514,01-03-2023,Karnataka,29,Bengaluru West Rto,KA2,Cng Only,Fuel,459
174522,01-05-2023,Karnataka,29,Bengaluru West Rto,KA2,Cng Only,Fuel,476
174531,01-11-2023,Karnataka,29,Bengaluru West Rto,KA2,Cng Only,Fuel,504
174539,01-10-2023,Karnataka,29,Bengaluru West Rto,KA2,Cng Only,Fuel,456
174548,01-09-2023,Karnataka,29,Bengaluru West Rto,KA2,Cng Only,Fuel,427
174557,01-01-2024,Karnataka,29,Bengaluru West Rto,KA2,Cng Only,Fuel,454
176061,01-04-2023,Karnataka,29,"Chandapura, Bengaluru Rto",KA59,Cng Only,Fuel,3
